MES,Periodo Analisis,M1,M2,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP12,CP13,CP16,CP19,HRD1,HRD2,Target,CP14,CP27,CP38,CP49,CP510,CP611,CP712,CP813,CP9,CP10,CP18,CP1914,CP20,CP21,CP22,CP23,CP24,CP25,CP26,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22
May-16,1,62.29,37.71,66.416,0.432,0.004,2.591,0.015,0.904,0.789,0.487,0.309,0.376,87.206,6.677,3.79,94.80,12.0,1663.83,404.72,912.87,1084.27,173.79,85.16,258.95,0.401,99.531,4.314,95.105,0.198,0.947,3.591,0.103,0.019,0.000,0.007,1033.446,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,92%,0%,8%,54%,0%,0%,46%,0%,0%,0%,0%,0%
Mar-14,1,20.74,79.26,66.813,0.448,0.003,2.324,0.015,0.773,0.623,0.503,0.266,0.363,89.909,6.409,3.72,94.71,12.2,1618.87,400.69,912.91,1117.26,158.67,85.14,243.81,0.383,101.458,4.304,93.760,0.233,1.156,4.838,0.009,0.000,0.000,0.000,1037.608,0%,14%,40%,0%,0%,2%,0%,43%,0%,0%,0%,0%,0%,0%,0%,14%,35%,0%,0%,0%,51%,0%
Ago-14,1,30.00,70.00,66.676,0.427,0.002,2.729,0.021,0.740,0.574,0.453,0.211,0.296,89.727,6.797,3.52,94.22,12.3,1559.46,378.60,913.60,1084.71,169.52,85.43,254.94,0.382,106.691,4.114,93.719,0.235,1.152,4.714,0.011,0.000,0.000,0.000,1038.158,0%,23%,21%,0%,0%,20%,0%,36%,0%,0%,0%,0%,0%,0%,0%,0%,65%,0%,0%,0%,35%,0%
Jun-13,1,20.00,80.00,66.839,0.399,0.004,2.481,0.015,0.737,0.579,0.472,0.233,0.326,90.152,6.251,3.79,93.96,12.3,1634.13,371.81,911.51,1117.18,160.90,84.43,245.32,0.391,100.430,4.787,93.788,0.225,1.115,4.855,0.011,0.000,0.000,0.000,1038.357,0%,0%,36%,0%,45%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,74%,2%,4%,0%,0%,20%,0%
Dic-12,1,20.00,80.00,66.449,0.400,0.003,2.634,0.019,0.836,0.658,0.595,0.248,0.360,90.339,6.132,3.76,93.90,12.3,1697.22,375.82,896.19,1107.63,172.74,84.41,257.15,0.379,99.350,4.853,93.749,0.215,1.192,4.737,0.052,0.009,0.004,0.009,1038.609,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,41%,0%,56%,0%,0%,3%,0%
Nov-14,1,30.00,70.00,66.618,0.402,0.003,2.551,0.015,0.830,0.639,0.495,0.250,0.336,88.687,6.529,3.35,95.04,12.4,1644.40,366.70,912.51,1117.89,161.20,85.34,246.54,0.379,101.368,4.494,93.701,0.232,1.159,4.889,0.014,0.000,0.000,0.000,1038.110,0%,6%,6%,0%,0%,19%,0%,67%,0%,0%,0%,0%,1%,0%,0%,0%,62%,0%,0%,0%,38%,0%
Jul-15,1,29.56,70.44,66.681,0.391,0.004,2.436,0.014,0.872,0.732,0.425,0.304,0.355,89.996,6.481,3.40,94.16,12.4,1618.38,395.41,914.75,1094.72,160.29,93.69,253.98,0.387,102.099,4.603,94.617,0.153,1.257,3.704,0.179,0.029,0.010,0.009,1033.892,0%,36%,0%,0%,0%,0%,64%,0%,0%,0%,0%,0%,0%,0%,0%,0%,80%,0%,0%,0%,20%,0%
Feb-17,2,64.74,35.26,66.805,0.300,0.006,2.226,0.019,0.724,0.773,0.525,0.348,0.444,90.180,7.228,3.81,95.14,12.5,1674.32,398.08,904.46,1072.52,181.35,90.84,272.18,0.402,104.231,4.040,94.954,0.253,0.966,3.704,0.086,0.012,0.000,0.001,1032.756,0%,0%,0%,0%,0%,0%,13%,0%,0%,0%,72%,0%,15%,51%,0%,0%,40%,0%,8%,0%,0%,1%
Oct-14,1,30.00,70.00,66.679,0.389,0.003,2.524,0.018,0.793,0.643,0.485,0.253,0.341,89.545,6.669,3.54,94.70,12.6,1590.49,378.64,912.93,1083.31,164.78,84.39,249.17,0.387,102.514,4.328,93.834,0.230,1.163,4.734,0.028,0.000,0.000,0.000,1037.324,0%,5%,3%,0%,0%,7%,0%,84%,0%,0%,0%,0%,0%,0%,0%,0%,71%,0%,0%,0%,29%,0%
Nov-12,1,20.00,80.00,66.516,0.389,0.004,2.533,0.020,0.823,0.635,0.587,0.249,0.363,90.492,6.882,3.71,93.62,12.6,1650.73,369.58,904.26,1115.51,165.13,84.35,249.49,0.377,100.894,4.822,93.955,0.193,1.306,4.246,0.166,0.036,0.015,0.039,1038.285,0%,0%,99%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,0%,71%,0%,0%,3%,0%
